discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,sy_dist,pl_name
Radial Velocity,2007,,1.21,,5434.7,,,,,93.1846,11 Com b
Radial Velocity,2007,326.03,1.29,,6165.6,,,G8 III,4742,93.1846,11 UMi b
Radial Velocity,2007,323.21,1.178,,4914.89849,,,G8 III,4874,93.1846,14 And b
Radial Velocity,2009,516.21997,1.53,,4684.8142,,,,4213,125.321,14 Her b
Radial Velocity,2009,,1.51,,3432.4,,,,,125.321,16 Cyg B b
Radial Velocity,2009,516.22,1.54,,3337.07,,,K4 III,4340,125.321,17 Sco b
Radial Velocity,2008,186.76,0.775,,1131.1513,,,K0 III,4888,75.4392,18 Del b
Imaging,2008,,0.68,,1017,,,,,75.4392,1RXS J160929.1-210524 b
Radial Velocity,2008,185.84,0.83,,1525.5,,,K0 III,4813,75.4392,24 Boo b
Radial Velocity,2002,1773.4,2.77,,1474.67,,,K0 V,,17.9323,24 Sex b
Radial Velocity,2002,1766,2.864,,1581.138,,,,5280,17.9323,24 Sex c
Imaging,2002,1765.0389,2.774,,2559.47216,,,,,17.9323,2M0437 b
Imaging,2002,1773.40002,2.93,,1481.0878,,,,5338,17.9323,2MASS J01033563-5515561 AB b
Imaging,2002,1796.4,2.8,,1506.45,,,,5255,17.9323,2MASS J01225093-2439505 b
Imaging,2002,1766.41,2.83,,1541.46777,,,,5314.94,17.9323,2MASS J02192210-3925225 b
Imaging,2002,1724,2.82,,1554.12,,,K0 V,,17.9323,2MASS J04414489+2301513 b
Imaging,2002,,2.73,,1440.663,,,,,17.9323,2MASS J12073346-3932539 b
Eclipse Timing Variations,1996,799.45,1.676,,556.83537,,,,5711.97,21.1397,2MASS J19383260+4603591 b
Imaging,1996,798.5,1.681,,533.9544,,,,5674,21.1397,2MASS J22362452+4751425 b
Radial Velocity,1996,800.8,1.6,,476.7,,,G2.5 V,5760,21.1397,30 Ari B b
Radial Velocity,1996,799.5,1.68,,533.93,,,,5747,21.1397,4 UMa b
Radial Velocity,1996,799.5,1.68,,533.93,,,G3 V,,21.1397,42 Dra b
Radial Velocity,1996,798.5,1.66,,565.7374,,,,5750,21.1397,47 UMa b
Radial Velocity,2020,578.38,1.45,,1373.01872,,,K3 III,4157,124.953,47 UMa c
Radial Velocity,2008,993.3,2.6,,3273.5,,,G6 III,4979,76.222,47 UMa d
Imaging,2008,982.85,2.476,,2926.24614,,,G6 III,4980,76.222,51 Eri b
Radial Velocity,2008,,2.54,,3127.3,,,,,76.222,51 Peg b
Radial Velocity,2008,,330,,4000,,1700,,4060,139.135,55 Cnc b
Radial Velocity,2008,,330,,3000,,1700,K7 V,4060,139.135,55 Cnc c
Radial Velocity,2008,,330,,3000,,1800,,3993,139.135,55 Cnc d
Radial Velocity,2008,,330,18.647,2543,,1800,K7 V,4060,139.135,55 Cnc e
Radial Velocity,2018,30.33,0.194,,280.64248,,,G3 IV,4816,95.9863,55 Cnc f
Radial Velocity,2018,30.3506,0.19,,289.2253,,,G3 IV,4893,95.9863,6 Lyn b
Radial Velocity,2010,452.8,1.333,,632.46,,,,5098,72.0691,61 Vir b
Radial Velocity,2010,883,2.08,,273.32,,,,5098,72.0691,61 Vir c
Radial Velocity,2021,,118,,1271.31363,,1450,M V,3100,128.484,61 Vir d
Radial Velocity,2013,,84,,4131.79,,,M5.5/M6,,,7 CMa b
Radial Velocity,2013,,,11.209,,,1600,,3309,33.8281,7 CMa c
Radial Velocity,2013,,52,,7786.5,,,M3.5 V,3530,33.8281,70 Vir b
Radial Velocity,2015,,156,16.141,4417.837,,,M6,3064,,75 Cet b
Radial Velocity,2010,,15,,2383.6,,,M8.5,,,75 Cet c
Radial Velocity,2004,,55,,1589.15,,1250,M8,,64.308,8 UMi b
Radial Velocity,2004,,46,,1271,,1150,,2825,64.308,81 Cet b
Radial Velocity,2015,406,,,591.16084,,,,29564,396.332,91 Aqr b
Imaging,2015,416,0.92,,603.877,,,,,396.332,AB Aur b
Imaging,2016,,230,,3972.875,,,K7 V,4045,69.5737,AB Pic b
Imaging,2009,335.1,0.995,,3140.03,,,F6 V,6300,44.657,AF Lep b
Transit,2009,345.4,1.01,,2097.678,,,,,44.657,AU Mic b
Transit,2009,335.10001,0.99,,4392.4106,,,,6331,44.657,AU Mic c
Radial Velocity,2006,270.27,0.877,,2511.48007,,,K1 III,4415,73.4603,BD+03 2562 b
Radial Velocity,2006,269.3,0.87,,2256.5,,,K1 III,4415,73.4603,BD+14 4559 b
Radial Velocity,2008,479.1,1.19,,1233.13,,,K1.5 III,4200,90.6545,BD+15 2375 b
Radial Velocity,1996,1076.6,2.1,,778.6835,,,G0 V,5882,13.7967,BD+15 2940 b
Radial Velocity,1996,1078,2.1,,804.08,,,,5872,13.7967,BD+20 2457 b
Radial Velocity,1996,1100.8,2.11,,877.17,,,,,13.7967,BD+20 2457 c
Radial Velocity,1996,1083.2,2.11,,826.32,,,G1 V,,13.7967,BD+20 274 b
Transit,1996,1076.6,2.059,,774.86566,,,,5829.16,13.7967,BD+20 594 b
Radial Velocity,2001,2391,3.6,,171.621,,,,5872,13.7967,BD+45 564 b
Radial Velocity,2001,7586,7.73,,425.87,,,G1 V,,13.7967,BD+48 738 b
Radial Velocity,2001,2287,3.404,,157.96072,,,,5829.16,13.7967,BD+48 740 b
Radial Velocity,2009,14002,11.6,,521.22,,,,5872,13.7967,BD+49 828 b
Radial Velocity,2009,19000,13.8,,479.92089,,,,5829.16,13.7967,BD+55 362 b
Imaging,2015,14965,14,,,,,,7295,29.7575,BD+60 1417 b
Radial Velocity,2015,11688,12,,,,,,7295,29.7575,BD+63 1405 b
Radial Velocity,2015,,13.2,,635.66,,700,F0 IV,,29.7575,BD-00 4475 b
Radial Velocity,1995,4.231,0.052,,146.2018,,,,,15.4614,BD-06 1339 b
Radial Velocity,1995,4.23077,0.052,,148.738,,,,,15.4614,BD-06 1339 c
Radial Velocity,1995,4.2293,,,149.3801,,,,5773,15.4614,BD-08 2823 b
Radial Velocity,1995,4.2307969,0.05235,,147.47238,,,,5760.76,15.4614,BD-08 2823 c
Radial Velocity,1995,4.230785,0.0527,,150.009,,,,5758,15.4614,BD-10 3166 b
Radial Velocity,1996,14.65126,0.1138,,260.61,,,,5250,12.5855,BD-11 4672 b
Radial Velocity,1996,14.647,0.115,,289.21,,,,,12.5855,BD-11 4672 c
Radial Velocity,1996,14.648,0.11,,266.9772,,,G8 V,5200,12.5855,BD-13 2130 b
Radial Velocity,1996,14.465314,0.11339,,266.966,,,,5250,12.5855,BD-17 63 b
Radial Velocity,1996,14.65152,0.115227,,263.9785,,,,,12.5855,BD-210397 b
Radial Velocity,1996,14.651,0.1134,,254.25,,,,5250,12.5855,BD-210397 c
Radial Velocity,1996,14.6516,0.1134,,255.4,,,,5172,12.5855,CD Cet b
Imaging,1996,14.65162,0.115,,261.881,,,,5250,12.5855,CFBDSIR J145829+101343 b
Imaging,1996,14.67,0.115,,249.17872,,,,,12.5855,CFHTWIR-Oph 98 b
Imaging,1996,14.6,0.113,,254.25,,700,K0 IV-V,,12.5855,CHXR 73 b
Radial Velocity,1996,14.65171,0.1162,,267.29369,,,,5317.89,12.5855,CI Tau b
Imaging,1996,14.653,0.115,,266.9772,,,G8 V,,12.5855,COCONUTS-2 b
Imaging,2004,44.3827,0.2432,,54.34866,,,,5317.89,12.5855,CT Cha b
Transit,2004,43.93,0.24,,68.96911,,,,,12.5855,CoRoT-1 b
