pl_name,hostname,disc_year,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_gravitye,pl_gravity,pl_insol,pl_eqt,st_spectype,st_teff,glat,glon,sy_dist,xVal,yVal
CoRoTID 223977153 b,CoRoTID 223977153,2017,Transit,6.71837,0.071,6.389,47.6745,1.167939565,11.4695,132.26,938,G0 VI,5970,1.86373,203.48237,1880.888384,749.0752381,-1724.205756
EPIC 246851721 b,EPIC 246851721,2018,Transit,6.180235,0.07229,11.781,953.49,6.869922387,67.4647,642,1401,F5 V,6202,-12.64088,186.97531,1215.363033,144.0180682,-1177.126315
EPIC 249893012 b,EPIC 249893012,2020,Transit,3.5951,0.047,1.95,8.75,2.301117686,22.5977,1037,1616,G8 IV/V,5430,34.30816,345.11043,1047.927395,222.423647,836.5423269
EPIC 249893012 c,EPIC 249893012,2020,Transit,15.624,0.13,3.67,14.67,1.089175805,10.696,160,990,G8 IV/V,5430,34.30816,345.11043,1047.927395,222.423647,836.5423269
EPIC 249893012 d,EPIC 249893012,2020,Transit,35.747,0.22,3.94,10.18,0.655775722,6.4399,53,752,G8 IV/V,5430,34.30816,345.11043,1047.927395,222.423647,836.5423269
G 9-40 b,G 9-40,2019,Transit,5.746007,0.0385,2.025,11.7,2.853223594,28.0195,7.2,456,M2.5 V,3348,37.03563,206.06509,91.08764854,31.94894591,-65.31661479
GJ 1214 b,GJ 1214,2009,Transit,1.58040433,0.0149,2.742,8.17,1.086643673,10.6712,21,596,M4 V,3250,23.60704,26.16217,47.75809992,-19.29498179,39.27802453
GJ 357 b,GJ 357,2019,Transit,3.93072,0.035,1.217,1.84,1.242329124,12.2,12.6,525,M2.5 V,3505,22.08045,253.88843,30.79506549,27.41563869,-7.919115236
GJ 367 b,GJ 367,2021,Transit,0.3219225,0.00709,0.699,0.633,1.295535621,12.7225,579,1365,M1.0 V,3522,5.6589,272.24323,30.69989306,30.52686729,1.195791313
GJ 3929 b,GJ 3929,2022,Transit,2.6162745,0.02569,1.15,1.21,0.914933837,8.9849,17.5,569,M3.5 V,3369,49.59735,56.66419,51.56369254,-27.92227105,18.3664957
GJ 486 b,GJ 486,2021,Radial Velocity,1.467119,0.01734,1.305,2.82,1.655877042,16.2612,40.3,701,M3.5 V,3340,72.60142,300.0371,26.33471394,6.816992938,3.941680403
GJ 9827 b,GJ 9827,2017,Transit,1.208966,0.0206,1.58,3.69,1.478128505,14.5157,256,1114,K6 V,4219,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GJ 9827 b,GJ 9827,2017,Transit,1.2089802,0.01888,1.62,3.42,1.303155007,12.7974,315,1172,K5 V,4269,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GJ 9827 c,GJ 9827,2017,Transit,3.64823,0.0429,1.24,1.45,0.943028096,9.2608,59,771,K6 V,4219,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GJ 9827 c,GJ 9827,2017,Transit,3.648083,0.03942,1.269,2.42,1.502768634,14.7576,72,811,K5 V,4269,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GJ 9827 d,GJ 9827,2017,Transit,6.201467,0.05615,2.07,5.2,1.21356391,11.9176,35.6,680,K5 V,4269,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GJ 9827 d,GJ 9827,2017,Transit,6.20142,0.0611,2.04,2.35,0.564686659,5.5454,29,646,K6 V,4219,-57.18299,81.34803,96.74124319,-51.83303314,7.887106225
GPX-1 b,GPX-1,2021,Transit,1.744579,0.0338,16.477,6261.21962,23.06230195,226.4787,4650,2300,F2,7000,-4.05517,136.89331,2136.366674,-1456.250456,-1555.819009
HAT-P-68 b,HAT-P-68,2020,Transit,2.29840551,0.02996,12.016,230.10892,1.593725842,15.6509,184.8,1028,K,4508,23.83401,197.14414,659.3316407,177.7808744,-576.3056262
HATS-17 b,HATS-17,2016,Transit,16.254611,0.1308,8.709,425.25654,5.60679168,55.0604,72.7,814,G V,5846,15.25563,302.46383,1305.705088,1062.842177,676.1622517
HATS-18 b,HATS-18,2016,Transit,0.8378434,0.01761,14.986,629.3034,2.802132206,27.5178,2990,2060,G V,5600,30.87451,283.68658,2036.416052,1698.21149,413.5579637
HATS-36 b,HATS-36,2018,Transit,4.1752387,0.05425,13.843,1022.14128,5.333969035,52.3812,561,1356,G0 V,6149,-17.59239,15.35677,2793.320635,-705.1537066,2567.609668
HD 110113 b,HD 110113,2021,Transit,2.541,0.035,2.05,4.55,1.082688876,10.6323,735.49,1371,G,5732,18.51297,300.80214,346.7270605,282.4064638,168.3623361
HD 191939 b,HD 191939,2020,Transit,8.8803256,0.0804,3.41,10,0.859985724,8.4453,100,880,G9 V,5348,17.72195,99.98716,174.8488464,-164.0275707,-28.88458629
HD 191939 c,HD 191939,2020,Transit,28.579743,0.1752,3.195,8,0.78369714,7.6961,21,600,G9 V,5348,17.72195,99.98716,174.8488464,-164.0275707,-28.88458629
HD 191939 d,HD 191939,2020,Transit,38.353037,0.2132,2.995,2.8,0.312150747,3.0654,14.3,540,G9 V,5348,17.72195,99.98716,174.8488464,-164.0275707,-28.88458629
HD 207496 b,HD 207496,2023,Transit,6.441008,0.0629,2.25,6.1,1.204938272,11.8329,72.9,743,K2.5 V,4819,-35.79483,313.77934,76.99247452,45.08941842,43.20799827
HD 207897 b,HD 207897,2021,Transit,16.202159,0.1163,2.501,14.4,2.302157905,22.6079,26.5,632,K0 V,5070,23.23912,118.37663,92.2820332,-74.60610107,-40.30004993
HD 23472 b,HD 23472,2019,Transit,17.667087,0.1162,2,8.32,2.08,20.4262,16,543,K4 V,4684,-44.84798,277.0269,127.3122066,89.58388923,11.04221411
HD 23472 c,HD 23472,2019,Transit,29.79749,0.1646,1.87,3.41,0.975149418,9.5763,7.96,467,K4 V,4684,-44.84798,277.0269,127.3122066,89.58388923,11.04221411
HD 23472 d,HD 23472,2022,Transit,3.97664,0.04298,0.75,0.55,0.977777778,9.6021,117,909,K4 V,4684,-44.84798,277.0269,127.3122066,89.58388923,11.04221411
HD 23472 e,HD 23472,2022,Transit,7.90754,0.068,0.818,0.72,1.07603374,10.567,46.7,723,K4 V,4684,-44.84798,277.0269,127.3122066,89.58388923,11.04221411
HD 23472 f,HD 23472,2022,Transit,12.1621839,0.0906,1.137,0.77,0.595620718,5.8492,26.3,630,K4 V,4684,-44.84798,277.0269,127.3122066,89.58388923,11.04221411
HD 260655 b,HD 260655,2022,Transit,2.76953,0.02933,1.24,2.14,1.391779396,13.6677,42.2,709,M0 V,3803,4.86549,195.67069,32.63357637,8.782825273,-31.30736579
HD 260655 c,HD 260655,2022,Transit,5.70588,0.04749,1.533,3.09,1.314843821,12.9122,16.1,557,M0 V,3803,4.86549,195.67069,32.63357637,8.782825273,-31.30736579
HD 332231 b,HD 332231,2020,Transit,18.71204,0.1436,9.718,77.55052,0.821165935,8.0641,98.09,876,F8,6089,-2.65449,73.36636,263.0989344,-251.8189757,75.2315151
HD 5278 b,HD 5278,2021,Transit,14.339156,0.1202,2.45,7.8,1.299458559,12.7611,132,943,F V,6203,-33.38439,302.97274,187.8158455,131.5658219,85.35087663
HD 73583 b,HD 73583,2022,Transit,6.398042,0.0604,2.79,10.2,1.310363433,12.8682,43.3,714,K4 V,4511,16.64313,237.89791,102.9564791,83.56103108,-52.4219836
HD 73583 c,HD 73583,2022,Transit,18.87974,0.1242,2.39,9.7,1.698149542,16.6763,10.2,498,K4 V,4511,16.64313,237.89791,102.9564791,83.56103108,-52.4219836
HD 93963 A b,HD 93963 A,2022,Transit,1.0391353,0.02085,1.35,7.8,4.279835391,42.0293,2898,2042,G0 V,5987,63.07361,209.2072,268.5675984,59.34664005,-106.1569822
HD 93963 A c,HD 93963 A,2022,Transit,3.6451398,0.04813,3.228,19.2,1.842613194,18.095,543.8,1344,G0 V,5987,63.07361,209.2072,268.5675984,59.34664005,-106.1569822
HD 95338 b,HD 95338,2020,Radial Velocity,55.087,0.262,3.89,42.44,2.804633858,27.5423,7.42,385,K0.5 V,5212,2.95274,287.94231,120.6586165,114.6382472,37.12065319
HIP 65 A b,HIP 65 A,2020,Transit,0.9809734,0.01782,22.754,1021.18779,1.972377801,19.3693,661,1411,K4 V,4590,-60.79535,317.9426,201.5176749,65.86652185,73.00496938
K2-100 b,K2-100,2016,Transit,1.6739035,0.0301,3.88,21.8,1.448081624,14.2206,1915,1841,G0 V,5945,32.19544,205.23994,616.3018298,222.3883557,-471.7454545
K2-140 b,K2-140,2017,Transit,6.569188,0.068,13.563,295.58042,1.606808566,15.7793,204,962,G6 V,5585,52.97976,295.18424,1134.753485,618.2866016,290.7358905
K2-140 b,K2-140,2017,Transit,6.5693,0.0591,12.274,323.86877,2.149793938,21.1116,188.5,1114,G5,5654,52.97976,295.18424,1134.753485,618.2866016,290.7358905
K2-180 b,K2-180,2018,Transit,8.8665,0.075,2.242,11.44182,2.276270629,22.3537,67,729,K2 V,5110,25.58211,214.28896,665.0198079,337.9221957,-495.5805098
K2-216 b,K2-216,2018,Transit,2.1748,0.028,1.75,8,2.612244898,25.653,248,1103,K5 V,4503,-56.49811,120.44792,376.5834153,-179.1946372,-105.3344274
K2-24 b,K2-24,2016,Transit,20.8851,0.154,5.68,21,0.650912517,6.3922,60,767,G3,5743,19.20525,349.99931,556.298841,91.23034084,517.3565404
K2-24 c,K2-24,2016,Transit,42.3633,0.247,7.82,27,0.441519875,4.3359,24,606,G3,5743,19.20525,349.99931,556.298841,91.23034084,517.3565404
K2-25 b,K2-25,2015,Transit,3.48456408,0.0287,3.44,24.5,2.070375879,20.3317,9.91,494,M4.5 V,3207,-25.29268,178.25572,146.6284919,-4.035330968,-132.5108361
K2-285 b,K2-285,2018,Transit,3.471745,0.03817,2.59,9.68,1.443031559,14.171,234.31,1089,K2 V,4975,-53.68469,80.67491,505.4151845,-295.3657073,48.50080903
